ID0033img.mat,0.7839221196306704,[0.89266976 0.         0.4709236  1.        ],[0.85302965 0.         0.45285088 0.83944154],[0.89266976 0.         0.4709236  1.        ],[0.87239965 0.         0.46171045 0.91271347],[0.68843    0.96084974 0.94508639 0.96760944],[0.81455312 0.31792361 0.89621998 0.99784284],[6671  973  877 1443],0.7325396591058888,0.7839221196306704,0.7568992033692346
ID0018img.mat,0.1761216166110493,[0.10493827 0.00189036 0.39784946 0.99457995],[1.         0.02678571 0.25342466 0.15478701],[0.10493827 0.00189036 0.39784946 0.99457995],[0.18994413 0.00353149 0.30962343 0.26788321],[1.         0.9018018  0.95814132 0.13917526],[0.9141421  0.24925606 0.8700882  0.43476785],[ 648 1587   93  369],0.285945060549357,0.1761216166110493,0.09504343948506098
ID0025img.mat,0.6699834162520729,[0.8639201  0.         0.72380952 0.42553191],[0.74328679 0.         0.69724771 0.27027027],[0.8639201  0.         0.72380952 0.42553191],[0.79907621 0.         0.71028037 0.33057851],[0.40987654 0.982      0.97002725 0.9028777 ],[0.72593517 0.45453398 0.92432853 0.84783025],[801 206 105  94],0.5754470415321502,0.6699834162520729,0.6183365386459387
ID0029img.mat,0.8452208544532948,[0.82302772 0.         0.87155963 0.92933083],[0.94578867 0.         0.12418301 1.        ],[0.82302772 0.         0.87155963 0.92933083],[0.88014821 0.         0.2173913  0.96337115],[0.90011287 0.9985348  0.87626962 1.        ],[0.94443603 0.97182921 0.94417986 0.99896289],[3752   64  109 1599],0.9343111927726787,0.8452208544532948,0.8809634706167734
ID0030img.mat,0.3602804974861074,[0.08697333 0.36024845 0.81912442 0.5863836 ],[0.98253275 0.62484157 0.17735096 0.4598163 ],[0.08697333 0.36024845 0.81912442 0.5863836 ],[0.15980114 0.45701043 0.29157269 0.51544402],[0.99919533 0.8772039  0.50702541 0.84802972],[0.96347855 0.63466488 0.80372487 0.8738247 ],[2587 2737  868 1366],0.6660562731117623,0.3602804974861074,0.3468410560488729
ID0034img.mat,0.3694217058357539,[0.72596965 0.0273224  0.89355742 0.22948718],[0.4856176  0.17699115 0.19949969 0.94708995],[0.72596965 0.0273224  0.89355742 0.22948718],[0.58195336 0.04733728 0.32617587 0.36945304],[0.64936563 0.91993112 0.62682216 0.99667443],[0.71318189 0.48545344 0.86127186 0.8831581 ],[1186 1464  357  780],0.4343831691932524,0.3694217058357539,0.30739810486065483
ID0035img.mat,0.181021681021681,[0.         0.3462923  0.82458101 0.        ],[0.         0.23025371 0.16294988 0.        ],[0.         0.3462923  0.82458101 0.        ],[0.         0.27659574 0.27212389 0.        ],[0.95958188 0.69915809 0.35074499 1.        ],[0.09293271 0.59738329 0.80305784 0.95375671],[3864 1389  895  586],0.06915095699067637,0.181021681021681,0.09321983580597779
ID0038img.mat,0.7038140643623361,[0.9408046  0.05544148 0.43421053 0.68606061],[0.70712743 0.3253012  0.69473684 0.73697917],[0.9408046  0.05544148 0.43421053 0.68606061],[0.80739827 0.09473684 0.53441296 0.71060891],[0.58044554 0.980481   0.98099607 0.92018965],[0.80475685 0.55117402 0.8643631  0.93593573],[1740  487  304  825],0.6579354073625623,0.7038140643623361,0.6554599913339182
ID0047C1img.mat,0.3425925925925926,[0.35804196 0.04395604 0.08641975 1.        ],[0.73352436 0.21621622 0.93333333 0.1639136 ],[0.35804196 0.04395604 0.08641975 1.        ],[0.48120301 0.07305936 0.15819209 0.28165939],[0.80338266 0.97117296 0.99902534 0.37865911],[0.76881385 0.66542503 0.8890393  0.99265067],[715 182 162 129],0.6196684505613994,0.3425925925925926,0.35296139209456806
ID0047C2img.mat,0.7127344521224087,[1.         0.         0.11607143 0.94356261],[0.37908497 0.         0.92857143 1.        ],[1.         0.         0.11607143 0.94356261],[0.54976303 0.         0.20634921 0.97096189],[0.66030989 0.99413834 0.99889012 1.        ],[0.86235324 0.85180246 0.89623632 0.99997232],[174 160 112 567],0.727503242165573,0.7127344521224087,0.6607159615826851
